None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,John Hughes,Anamanaguchi,LyricsData/John-Hughes_Anamanaguchi.txt,None,None,None,None,ImgData/John-Hughes_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Christian Knolmüller,Christof Straub,None,None,None,None,None,None,None,None,Christof Straub,Zoë Straub,None,None,None,None,Loin d'ici,Zoë Straub,LyricsData/Loin-d'ici_Zoë-Straub.txt,February 5 2016,None,Christian Knolmüller,None,ImgData/Loin-d'ici_Zoë-Straub.jpg,,None,7,None,None,Christian Knolmüller,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Akira,Anamanaguchi,LyricsData/Akira_Anamanaguchi.txt,None,None,None,None,ImgData/Akira_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Sebastian Arman,David Bronner,Doro Badent,None,None,None,None,None,None,None,Charlie Mason,Alexander Zuckowski,Joey Patulka,Julian Maas,Robin Grubert,None,Rise Like A Phoenix,Conchita Wurst,LyricsData/Rise-Like-A-Phoenix_Conchita-Wurst.txt,March 18 2014,None,None,None,ImgData/Rise-Like-A-Phoenix_Conchita-Wurst.jpg,,None,5,None,None,None,None,None,None,None,None,None,None
Bernhard Penzias,Nathan Trent,None,None,None,None,None,None,None,None,Nathan Trent,None,None,None,None,None,Running on Air,Nathan Trent,LyricsData/Running-on-Air_Nathan-Trent.txt,February 26 2017,None,None,None,ImgData/Running-on-Air_Nathan-Trent.jpg,,None,3,None,None,None,None,None,None,None,None,None,None
Jimmy Harry,None,None,None,None,None,None,None,None,None,Markus Christ,Florian Meindl,Paul Estrela,Dominic Muhrer,Jimmy Harry,None,I Am Yours,The Makemakes,LyricsData/I-Am-Yours_The-Makemakes.txt,March 6 2015,None,None,None,ImgData/I-Am-Yours_The-Makemakes.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Say A Word,Manuel Ortega,LyricsData/Say-A-Word_Manuel-Ortega.txt,None,None,None,None,ImgData/Say-A-Word_Manuel-Ortega.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Y Así,Global Kryner,LyricsData/Y-Así_Global-Kryner.txt,None,None,None,None,ImgData/Y-Así_Global-Kryner.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Mundo Perdido,Pignoise,LyricsData/Mundo-Perdido_Pignoise.txt,None,None,None,None,ImgData/Mundo-Perdido_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Woki mit deim popo,Trackshittaz,LyricsData/Woki-mit-deim-popo_Trackshittaz.txt,None,None,None,None,ImgData/Woki-mit-deim-popo_Trackshittaz.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Shine,Natália Kelly,LyricsData/Shine_Natália-Kelly.txt,None,None,None,None,ImgData/Shine_Natália-Kelly.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Como un Pez,Pignoise,LyricsData/Como-un-Pez_Pignoise.txt,None,None,None,None,ImgData/Como-un-Pez_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,El Título que Quieras,Pignoise,LyricsData/El-Título-que-Quieras_Pignoise.txt,None,None,None,None,ImgData/El-Título-que-Quieras_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Reflection,Bobbie Singer,LyricsData/Reflection_Bobbie-Singer.txt,None,None,None,None,ImgData/Reflection_Bobbie-Singer.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,El Ocaso,Pignoise,LyricsData/El-Ocaso_Pignoise.txt,None,None,None,None,ImgData/El-Ocaso_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Q t Pires,Pignoise,LyricsData/Q-t-Pires_Pignoise.txt,None,None,None,None,ImgData/Q-t-Pires_Pignoise.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
