Artist,Album,Year,Song,Feature1,Feature2,Feature3,Feature4
Cypress Hill,Black Sunday,1993,Insane in the Brain,None,None,None,None
Cypress Hill,Black Sunday,1993,When the Shit Goes Down,None,None,None,None
Cypress Hill,Black Sunday,1993,Lick a Shot,None,None,None,None
Cypress Hill,Rise Up,2010,It Ain't Nothin' (Ft. Demrick),Demrick,None,None,None
Cypress Hill,Black Sunday,1993,Cock the Hammer,None,None,None,None
Cypress Hill,Black Sunday,1993,Lock Down (Interlude),None,None,None,None
Cypress Hill,Black Sunday,1993,3 Lil' Putos,None,None,None,None
Cypress Hill,Rise Up,2010,Light It Up,None,None,None,None
Cypress Hill,Rise Up,2010,Rise Up (Ft. Tom Morello),Tom Morello,None,None,None
Cypress Hill,Rise Up,2010,Get it Anyway,None,None,None,None
Cypress Hill,Black Sunday,1993,Legalize It,None,None,None,None
Cypress Hill,Black Sunday,1993,Hits from the Bong,None,None,None,None
Cypress Hill,Black Sunday,1993,"What Go Around Come Around, Kid",None,None,None,None
Cypress Hill,Freak To The Funk / Ghost Rider 12,None,Freak To The Funk,None,None,None,None
Cypress Hill,Rise Up,2010,Pass the Dutch (Ft. The Alchemist & Evidence),The Alchemist,Evidence,None,None
Cypress Hill,Rise Up,2010,Bang Bang,None,None,None,None
Cypress Hill,Rise Up,2010,K.U.S.H.,None,None,None,None
Cypress Hill,Black Sunday,1993,A to the K,None,None,None,None
Cypress Hill,Black Sunday,1993,Hand on the Glock,None,None,None,None
Cypress Hill,Black Sunday,1993,Break Em' Off Some,None,None,None,None
Dyme-A-Duzin,Crown Fried EP,2017,That Chicken (Remix) (Ft. Fabolous),Fabolous,None,None,None
Cypress Hill,Freak To The Funk / Ghost Rider 12,None,Ghost Rider (Crossfire),None,None,None,None
Cypress Hill,Rise Up,2010,Get 'Em Up,None,None,None,None
Cypress Hill,Rise Up,2010,Carry Me Away (Ft. Mike Shinoda),Mike Shinoda,None,None,None
Cypress Hill,Rise Up,2010,Trouble Seeker (Ft. Daron Malakian),Daron Malakian,None,None,None
Cypress Hill,Rise Up,2010,Take My Pain (Ft. Everlast),Everlast,None,None,None
Cypress Hill,Rise Up,2010,I Unlimited,None,None,None,None
Cypress Hill,Rise Up,2010,Armed & Dangerous,None,None,None,None
Dyme-A-Duzin,Crown Fried,2017,Blunt Raps,None,None,None,None
Cypress Hill,Rise Up,2010,Shut 'Em Down (Ft. Tom Morello),Tom Morello,None,None,None
Cypress Hill,Rise Up,2010,Armada Latina (Ft. Marc Anthony & Pitbull),Marc Anthony,Pitbull,None,None
Cypress Hill,Rise Up,2010,Rise Like Smoke,None,None,None,None
Dyme-A-Duzin,Crown Fried,2017,Food For Thought,None,None,None,None
Dyme-A-Duzin,Crown Fried,2017,That Chicken,None,None,None,None
Dyme-A-Duzin,Crown Fried,2017,Black Lite,None,None,None,None
Cypress Hill,Rise Up,2010,Dead Man's Gun,None,None,None,None
Dyme-A-Duzin,Ghetto Olympics - EP,2017,Seasons,None,None,None,None
Dyme-A-Duzin,Ghetto Olympics - EP,2017,Raw (Ft. Oswin Benjamin),Oswin Benjamin,None,None,None
Dyme-A-Duzin,Ghetto Olympics - EP,2017,Legends,None,None,None,None
Dyme-A-Duzin,Hip Hope,2014,Body On Me,None,None,None,None
Dyme-A-Duzin,Hip Hope,2014,White Girl,None,None,None,None
Dyme-A-Duzin,Hip Hope,2014,The Real $wank,None,None,None,None
Dyme-A-Duzin,Hip Hope,2014,My Single,None,None,None,None
Dyme-A-Duzin,20=X,2011,Kids,None,None,None,None
Dyme-A-Duzin,Hip Hope,2014,Triple Darkness,None,None,None,None
Dyme-A-Duzin,20=X,2011,Fly Young Gentlemen (Ft. Traphik),Traphik,None,None,None
Dyme-A-Duzin,2 Piece Tape,2016,Slept On,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,How I Could Just Kill a Man,None,None,None,None
Dyme-A-Duzin,2 Piece Tape,2016,Marry Mary (Ft. Broadway Joe),Broadway Joe,None,None,None
Dyme-A-Duzin,2 Piece Tape,2016,May 13th,None,None,None,None
Dyme-A-Duzin,2 Piece Tape,2016,Why Lie?,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,Hand on the Pump,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,Latin Lingo,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,Insane in the Brain,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,Throw Your Set in the Air,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,Dr. Greenthumb,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,(Rock) Superstar,None,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,Latin Thugs (Ft. Tego Calderón),Tego Calderón,None,None,None
Cypress Hill,Greatest Hits from the Bong,2005,The Only Way,None,None,None,None
